Name,Count,TotalLP,Highscore,HighscoreDate,HighscoreCount,Lowscore,LowscoreDate,LowscoreCount,Deltascore,DeltascoreDate,DeltascoreCount,TournamentWins
korneliusdream,124,0,98554,09.09.19 20:13,57,1,06.09.19 14:25,17,2731,12.09.19 19:24,27,0
makrooy,124,181090,96667,14.09.19 22:47,61,118,12.09.19 19:03,28,272,14.09.19 21:15,62,0
stantoncree_,15,0,98634,09.09.19 17:54,6,2274,23.09.19 17:50,14,3007,14.09.19 17:46,5,0
kem_,82,0,98840,26.09.19 15:15,61,112,25.09.19 14:12,51,5578,14.09.19 16:04,16,0
taylor131313,39,113090,99410,06.09.19 13:54,4,37,30.09.19 18:23,29,41653,14.09.19 17:05,1,0
nsgr,5,0,74308,06.09.19 13:49,1,30784,06.09.19 14:01,2,100000,02.10.19 15:17,0,0
lackadal,163,436423,98711,12.09.19 17:51,29,18,25.09.19 15:00,117,16189,12.09.19 20:36,3,0
pigge18652,3,0,46254,06.09.19 14:01,2,1241,12.09.19 19:39,3,55324,12.09.19 19:39,1,0
spammiej,28,0,97487,18.09.19 12:44,7,2369,18.09.19 12:43,6,7602,18.09.19 12:38,4,0
massa,5,0,47508,06.09.19 14:04,1,6596,09.09.19 20:50,3,100000,02.10.19 15:17,0,0
bcp_,4,0,72255,14.09.19 23:09,4,643,14.09.19 20:16,2,59910,14.09.19 23:09,1,0
minatotm,1,0,63152,06.09.19 14:06,1,63152,06.09.19 14:06,1,100000,02.10.19 15:17,0,0
actiiiiiive,3,0,63579,15.09.19 03:48,3,11431,06.09.19 14:12,1,100000,02.10.19 15:17,0,0
mayhmeme,1,0,60498,06.09.19 14:28,1,60498,06.09.19 14:28,1,100000,02.10.19 15:17,0,0
asteri,10,96343,96343,07.10.19 17:29,10,2385,18.09.19 12:47,8,13672,18.09.19 12:40,2,0
axelalex2,4,0,55529,12.09.19 19:58,4,4155,06.09.19 15:27,2,100000,02.10.19 15:17,0,0
simplynick,2,0,53087,06.09.19 14:55,1,44432,06.09.19 15:56,2,100000,02.10.19 15:17,0,0
sparklingw,9,179923,90760,07.10.19 17:28,8,452,06.09.19 14:56,1,6780,09.09.19 19:42,1,0
muffeyo,21,0,93564,26.09.19 17:37,20,746,25.09.19 15:02,17,100000,02.10.19 15:17,0,0
the2ndd6,16,0,93968,26.09.19 17:34,8,4857,25.09.19 12:56,5,16927,26.09.19 18:35,5,0
riolutm,9,0,95182,25.09.19 14:15,2,9679,26.09.19 17:06,3,100000,02.10.19 15:17,0,0
phoebetm,7,0,86133,09.09.19 19:39,4,4128,09.09.19 19:47,6,4227,11.09.19 16:26,3,0
s0ze47_,10,0,95796,09.09.19 21:53,6,12507,06.09.19 16:24,2,846,23.09.19 18:51,4,0
turtlezz,1,0,48518,06.09.19 15:52,1,48518,06.09.19 15:52,1,100000,02.10.19 15:17,0,0
juvo,13,0,96410,12.09.19 19:41,3,5269,12.09.19 21:28,5,87900,27.09.19 17:10,1,0
